GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Maven plug-in example with Offline Instrumentation,default,TriangleType,3,46,6,16,1,9,7,6,1,1
JaCoCo Maven plug-in example with Offline Instrumentation,default,Triangle,0,27,0,0,0,2,0,1,0,1
